id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
421877081,Кольца детские треугольные,Sportlim,гимнастические кольца,5,1,4.8,1215.0,756.0
533628425,Гимнастические кольца деревянные,,гимнастические кольца,5,28,4.9,2100.0,981.0
234998530,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,954.0,582.0
421877087,Кольца детские треугольные,Sportlim,гимнастические кольца,5,1,4.8,1215.0,756.0
46577490,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,954.0,594.0
472696845,Гимнастические кольца,1000 Каталог,гимнастические кольца,0,0,4.8,4623.0,924.0
254526251,Кольца гимнастические детские Dop13 (1.Д.27.00-22),ROMANA,гимнастические кольца,5,3,4.9,2444.0,700.0
28660037,Кольца гимнастические 30 мм со стропами 37 мм,Мир спорта 365,гимнастические кольца,5,76,4.9,7300.0,2619.0
46577489,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,954.0,564.0
12914675,Гимнастические кольца,KETT-UP,гимнастические кольца,5,17,4.8,4550.0,1360.0
16202640,Гимнастические деревянные кольца,Sportlim,гимнастические кольца,5,165,4.8,2774.0,1555.0
127554952,Кольца гимнастические детские,Rokids,гимнастические кольца,5,57,4.9,1600.0,847.0
154041341,Кольца гимнастические детские для турника и шведской стенки,,гимнастические кольца,5,62,4.9,1720.0,846.0
273697221,Кольца гимнастические,Кольцо для гимнастики,гимнастические кольца,5,43,4.7,2958.0,1559.0
224973920,Кольца гимнастические 30 мм со стропами 37 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,20,4.9,7700.0,2762.0
812965113,Гимнастические кольца с нескользящими ручками,,гимнастические кольца,0,0,4.1,3690.0,736.0
164437048,"Гимнастические кольца, спортивная лестница, трапеция",КидсGO,гимнастические кольца,5,178,4.9,5620.0,2419.0
421877082,Кольца детские треугольные,Sportlim,гимнастические кольца,5,1,4.8,1215.0,756.0
46605282,Гимнастические кольца,Arizona Sport,гимнастические кольца,5,96,4.9,1820.0,1077.0
865009736,"Гимнастические кольца из ABS, диаметр 23 см",,гимнастические кольца,0,0,4.0,3726.0,884.0
421877083,Кольца детские треугольные,Sportlim,гимнастические кольца,5,1,4.8,1215.0,756.0
605811896,Палки для подтягиваний и тренировки хвата,,гимнастические кольца,5,22,4.9,3000.0,485.0
234541630,Гимнастические кольца для шведской ст,Sportlim,гимнастические кольца,5,165,4.8,1820.0,623.0
542458599,Гимнастические кольца деревянные детские (хлопковый канат),,гимнастические кольца,5,30,4.9,2300.0,1103.0
248308189,Кольца гимнастические,Кольцо для гимнастики,гимнастические кольца,5,109,4.7,3111.0,1498.0
11848310,"Кольца гимнастические детские, взрослые",ПРОДУКЦИЯ,гимнастические кольца,5,37,4.9,5000.0,872.0
154041346,Кольца гимнастические детские для турника и шведской стенки,,гимнастические кольца,5,96,4.9,1720.0,910.0
259917766,"Кольцо для воздушной гимнастики, D = 85 cм, цвет фиолетовый",Стальной король,гимнастические кольца,5,27,4.9,9000.0,5133.0
127554953,Кольца гимнастические детские,Rokids,гимнастические кольца,5,154,4.9,1600.0,847.0
276375684,Кольца гимнастические детские круглые,,гимнастические кольца,5,3,4.9,1460.0,882.0
147435022,Кольца гимнастические,SportStenki,гимнастические кольца,5,108,4.8,1501.0,654.0
39251179,Кольца гимнастические деревянные,BORABO,гимнастические кольца,5,51,4.9,6500.0,2254.0
261675095,Кольца гимнастические 38 мм со стропами 40 мм с пропиткой,Мир спорта 365,гимнастические кольца,5,11,4.9,11300.0,3986.0
421890408,Кольца гимнастические детские круглые,Sportlim,гимнастические кольца,5,3,4.8,1215.0,756.0
479790680,Кольцо для воздушной гимнастика D=95 см цвет черный,,гимнастические кольца,5,18,4.9,9000.0,5133.0
990187658,"Детские гимнастические кольца из АБС-пластика, 12 см",,гимнастические кольца,0,0,4.7,3130.0,743.0
421890410,Кольца гимнастические детские круглые,Sportlim,гимнастические кольца,5,3,4.8,1215.0,756.0
